,index,Gm#,Date,Unnamed: 2,Tm,Unnamed: 4,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,BA,OBP,OPS,Team_Hits,Hits_allowed,HR_allowed,ERA
25,163,158,"Wednesday, Sep 27",boxscore,PIT,@,PHI,L,6,7,,74-84,4,15.0,Kerkering,Hernandez,Soto,2:39,N,31388,.00,---,,.238,.314,.707,11,8,3,4.64
26,164,159,"Thursday, Sep 28",boxscore,PIT,@,PHI,W,3,2,,75-84,4,15.0,Ortiz,Strahm,Bednar,2:41,N,34046,.00,+,,.239,.314,.707,11,5,1,4.62
27,165,160,"Friday, Sep 29",boxscore,PIT,,MIA,L,3,4,,75-85,4,16.0,Brazoban,Selby,Scott,3:00,N,16387,.00,-,,.239,.314,.706,9,10,0,4.61
28,166,161,"Saturday, Sep 30",boxscore,PIT,,MIA,L,3,7,,75-86,4,16.0,Puk,Priester,Scott,3:10,N,25030,.00,--,,.239,.314,.706,12,14,1,4.63
29,168,162,"Sunday, Oct 1",boxscore,PIT,,MIA,W,3,0,,76-86,4,16.0,Moreta,Hoeing,Bednar,2:17,D,22954,.00,+,,.239,.315,.707,6,3,0,4.60
0,137,133,"Monday, Aug 28",boxscore,CIN,@,SFG,L,1,4,,68-65,3,7.0,Harrison,Abbott,Doval,2:25,N,24581,1.36,--,,.247,.325,.736,6,8,0,4.74
1,138,134,"Tuesday, Aug 29",boxscore,CIN,@,SFG,L,1,6,,68-66,3,7.0,Cobb,Williamson,,2:15,N,26078,1.32,---,,.246,.323,.732,1,7,1,4.74
2,139,135,"Wednesday, Aug 30",boxscore,CIN,@,SFG,W,4,1,,69-66,3,6.0,Greene,Webb,Díaz,2:32,D,25140,1.23,+,,.247,.323,.733,11,4,0,4.70
3,141,136,"Friday, Sep 1 (1)",boxscore,CIN,,CHC,L,2,6,,69-67,3,6.5,Wicks,Ashcraft,Thompson,2:45,D,21480,1.34,-,,.246,.323,.731,7,10,3,4.71
4,142,137,"Friday, Sep 1 (2)",boxscore,CIN,,CHC,W-wo,3,2,,70-67,3,6.5,Díaz,Alzolay,,2:52,N,27465,1.20,+,,.246,.323,.731,8,5,1,4.69
5,143,138,"Saturday, Sep 2",boxscore,CIN,,CHC,W-wo,2,1,,71-67,3,6.5,Moll,Leiter,,2:41,N,38246,1.38,++,,.247,.323,.732,9,5,1,4.66
6,144,139,"Sunday, Sep 3",boxscore,CIN,,CHC,L,7,15,,71-68,3,6.5,Palencia,Law,,3:17,D,37029,1.56,-,,.247,.323,.734,11,18,2,4.72
7,145,140,"Monday, Sep 4",boxscore,CIN,,SEA,W,6,3,,72-68,3,5.5,Sims,Woo,Gibaut,2:46,D,20994,1.19,+,,.247,.324,.734,8,9,2,4.70
8,146,141,"Tuesday, Sep 5",boxscore,CIN,,SEA,W-wo,7,6,,73-68,3,5.5,Díaz,Muñoz,,3:17,N,17863,1.28,++,,.248,.325,.738,13,9,3,4.71
9,147,142,"Wednesday, Sep 6",boxscore,CIN,,SEA,L,4,8,,73-69,3,5.5,Gilbert,Richardson,,2:51,N,13423,1.30,-,,.248,.325,.738,10,11,3,4.74
10,148,143,"Friday, Sep 8",boxscore,CIN,,STL,L,4,9,,73-70,3,6.5,Liberatore,Abbott,,3:11,N,29870,1.30,--,,.249,.326,.739,10,9,1,4.77
11,149,144,"Saturday, Sep 9",boxscore,CIN,,STL,L,3,4,,73-71,3,7.5,Thompson,Spiers,Helsley,3:03,N,40810,1.07,---,,.248,.326,.738,6,8,1,4.76
12,150,145,"Sunday, Sep 10",boxscore,CIN,,STL,W,7,1,,74-71,3,6.5,Greene,Mikolas,,2:28,D,31190,.88,+,,.249,.326,.741,10,1,0,4.73
13,151,146,"Tuesday, Sep 12",boxscore,CIN,@,DET,W,6,5,10,75-71,3,7.0,Díaz,Lange,Farmer,3:23,N,15080,.90,++,,.248,.326,.739,9,9,1,4.73
14,152,147,"Wednesday, Sep 13",boxscore,CIN,@,DET,W,4,3,,76-71,3,6.0,Duarte,Rodriguez,Díaz,2:56,N,15507,1.30,+++,,.248,.326,.738,5,7,1,4.72
15,153,148,"Thursday, Sep 14",boxscore,CIN,@,DET,L,2,8,,76-72,3,7.0,Olson,Law,,2:26,D,16945,1.54,-,,.247,.325,.737,5,9,2,4.74
16,154,149,"Friday, Sep 15",boxscore,CIN,@,NYM,W,5,3,,77-72,3,7.0,Sims,Hartwig,Díaz,2:53,N,27811,1.49,+,,.247,.325,.737,8,5,1,4.73
17,155,150,"Saturday, Sep 16",boxscore,CIN,@,NYM,W,3,2,,78-72,3,7.0,Duarte,Megill,Law,3:04,N,32633,1.68,++,,.247,.325,.737,9,8,0,4.71
18,156,151,"Sunday, Sep 17",boxscore,CIN,@,NYM,L,4,8,,78-73,3,7.0,Quintana,Williamson,,2:53,D,38044,1.83,-,,.247,.325,.737,9,13,0,4.72
19,157,152,"Monday, Sep 18",boxscore,CIN,,MIN,W,7,3,,79-73,2,6.0,Phillips,Ryan,,2:13,N,15364,1.75,+,,.248,.325,.737,9,5,2,4.71
20,158,153,"Tuesday, Sep 19",boxscore,CIN,,MIN,L,0,7,,79-74,3,7.0,Maeda,Cruz,,3:11,N,24186,1.95,-,,.247,.324,.735,4,11,2,4.73
21,159,154,"Wednesday, Sep 20",boxscore,CIN,,MIN,L,3,5,,79-75,3,8.0,Duran,Díaz,Jax,2:51,D,22306,1.72,--,,.247,.324,.734,6,9,1,4.73
22,160,155,"Friday, Sep 22",boxscore,CIN,,PIT,L,5,7,,79-76,3,9.5,Borucki,Gibaut,Bednar,3:34,N,37551,1.70,---,,.246,.325,.734,7,8,4,4.73
23,161,156,"Saturday, Sep 23",boxscore,CIN,,PIT,L,12,13,,79-77,3,9.5,Hernandez,Díaz,Mlodzinski,3:22,N,29680,1.47,----,,.247,.326,.737,16,16,1,4.78
24,162,157,"Sunday, Sep 24",boxscore,CIN,,PIT,W,4,2,,80-77,3,8.5,Sims,Hernandez,Gibaut,2:36,D,31191,.78,+,,.247,.326,.738,6,7,1,4.77
25,163,158,"Tuesday, Sep 26",boxscore,CIN,@,CLE,W,11,7,,81-77,3,7.5,Moll,Karinchak,,3:11,N,29189,.80,++,,.247,.326,.741,10,9,3,4.78
26,164,159,"Wednesday, Sep 27",boxscore,CIN,@,CLE,L,3,4,,81-78,3,8.5,Bieber,Abbott,Clase,2:27,N,28915,1.34,-,,.247,.326,.740,8,11,0,4.78
27,165,160,"Friday, Sep 29",boxscore,CIN,@,STL,W,19,2,,82-78,2,9.0,Williamson,Woodford,Spiers,2:45,N,38964,1.20,+,,.249,.327,.745,17,6,1,4.76
28,166,161,"Saturday, Sep 30",boxscore,CIN,@,STL,L,6,15,,82-79,3,9.0,VerHagen,Phillips,,3:19,N,39923,1.71,-,,.249,.327,.747,14,13,1,4.83
29,168,162,"Sunday, Oct 1",boxscore,CIN,@,STL,L,3,4,,82-80,3,10.0,Mikolas,Greene,Helsley,2:16,D,44614,.00,--,,.249,.327,.746,9,9,0,4.83
0,137,133,"Tuesday, Aug 29",boxscore,TOR,,WSN,L,4,5,,72-61,3,11.5,Gore,Berríos,Finnegan,2:55,N,39722,1.10,-,,.258,.328,.744,11,8,2,3.72
1,138,134,"Wednesday, Aug 30",boxscore,TOR,,WSN,W,7,0,,73-61,3,10.5,Bassitt,Corbin,,2:23,D,39303,1.00,+,,.258,.329,.745,12,5,0,3.69
2,140,135,"Friday, Sep 1",boxscore,TOR,@,COL,W,13,9,,74-61,3,9.5,Hicks,Bird,,3:10,N,27397,1.09,++,,.260,.330,.750,17,11,2,3.69
3,141,136,"Saturday, Sep 2",boxscore,TOR,@,COL,L,7,8,,74-62,3,10.5,Blach,Kikuchi,Kinley,3:05,N,40445,1.15,-,,.260,.331,.751,11,11,0,3.69
4,142,137,"Sunday, Sep 3",boxscore,TOR,@,COL,W,7,5,,75-62,3,10.5,Green,Lawrence,Romano,3:13,D,32283,1.13,+,,.261,.332,.753,12,9,0,3.70
5,143,138,"Monday, Sep 4",boxscore,TOR,@,OAK,W,6,5,10,76-62,3,10.5,Romano,Pérez,,3:00,D,9062,1.17,++,,.260,.332,.753,8,8,4,3.70
6,144,139,"Tuesday, Sep 5",boxscore,TOR,@,OAK,W,7,1,,77-62,3,10.5,Bassitt,Neal,,2:34,N,4751,1.21,+++,,.261,.333,.754,10,7,0,3.68
7,145,140,"Wednesday, Sep 6",boxscore,TOR,@,OAK,L,2,5,,77-63,3,11.5,Sears,Ryu,May,2:19,D,3871,1.04,-,,.260,.333,.753,6,8,2,3.69
8,146,141,"Friday, Sep 8",boxscore,TOR,,KCR,W,5,4,,78-63,3,11.5,Green,Hernández,Romano,3:10,N,26493,1.09,+,,.260,.333,.754,9,9,1,3.70
9,147,142,"Saturday, Sep 9",boxscore,TOR,,KCR,W,5,1,,79-63,3,11.5,Gausman,Greinke,,2:20,D,41443,.93,++,,.260,.333,.754,8,2,1,3.68
10,148,143,"Sunday, Sep 10",boxscore,TOR,,KCR,W,5,2,,80-63,3,10.5,Berríos,Clarke,Romano,2:47,D,35275,.94,+++,,.260,.333,.753,6,8,0,3.66
11,149,144,"Monday, Sep 11",boxscore,TOR,,TEX,L,4,10,,80-64,3,11.5,Dunning,Bassitt,,2:54,N,23451,1.34,-,,.260,.333,.753,7,11,2,3.71
12,150,145,"Tuesday, Sep 12",boxscore,TOR,,TEX,L,3,6,,80-65,3,11.5,Scherzer,Ryu,,2:39,N,30479,1.42,--,,.259,.332,.752,7,9,1,3.73
13,151,146,"Wednesday, Sep 13",boxscore,TOR,,TEX,L,0,10,,80-66,3,11.5,Montgomery,Kikuchi,,2:27,N,25495,1.75,---,,.259,.331,.750,5,12,3,3.77
14,152,147,"Thursday, Sep 14",boxscore,TOR,,TEX,L,2,9,,80-67,3,11.5,Bradford,Gausman,,3:18,N,37594,1.97,----,,.258,.331,.748,4,11,2,3.80
15,153,148,"Friday, Sep 15",boxscore,TOR,,BOS,W,3,0,,81-67,3,10.5,Berríos,Bello,Romano,2:17,N,35680,1.48,+,,.257,.330,.746,4,5,0,3.78
