,level_0,index,Date,Unnamed: 2,Tm,Unnamed: 4,Opp,W/L,R,RA,W-L,Rank,GB,Save,D/N,cLI,Streak,BA,OBP,OPS,Team_Hits,Hits_allowed,HR_allowed,ERA,predict
110,20,138,2023-8-30,boxscore,BOS,,HOU,L,4,7,0.515,4,14.5,Pressly,D,0.44,-3,0.265,0.331,0.769,7,12,0,4.48,0
111,21,140,2023-9-1,boxscore,BOS,@,KCR,L,2,13,0.511,4,14.5,,N,0.28,-4,0.264,0.33,0.766,5,17,4,4.55,0
112,22,141,2023-9-2,boxscore,BOS,@,KCR,W,9,5,0.515,4,14.5,Pivetta,N,0.23,-5,0.264,0.33,0.768,13,11,1,4.55,1
113,23,142,2023-9-3,boxscore,BOS,@,KCR,W,7,3,0.518,4,14.5,,D,0.33,1,0.264,0.33,0.768,8,8,0,4.54,1
114,24,143,2023-9-4,boxscore,BOS,@,TBR,W,7,3,0.522,4,14.5,,D,0.4,2,0.264,0.33,0.768,7,5,0,4.53,1
115,25,144,2023-9-5,boxscore,BOS,@,TBR,L-wo,6,8,0.518,4,15.5,,N,0.5,3,0.264,0.33,0.767,11,6,2,4.54,0
116,26,145,2023-9-6,boxscore,BOS,@,TBR,L,1,3,0.514,4,16.5,Fairbanks,N,0.35,-1,0.263,0.329,0.765,5,8,2,4.53,0
117,27,146,2023-9-8,boxscore,BOS,,BAL,L,2,11,0.511,4,17.5,,N,0.27,-2,0.262,0.328,0.763,4,14,2,4.58,0
118,28,147,2023-9-9,boxscore,BOS,,BAL,L,12,13,0.507,4,18.5,,D,0.19,-3,0.264,0.329,0.766,23,14,5,4.63,0
119,29,148,2023-9-10,boxscore,BOS,,BAL,W,7,3,0.51,4,17.5,,D,0.11,-4,0.264,0.329,0.766,8,7,0,4.62,1
120,0,119,2023-8-9,boxscore,CHC,@,NYM,L,3,4,0.513,2,2.5,Bickford,N,1.22,-1,0.256,0.334,0.754,7,8,2,4.15,0
121,1,120,2023-8-11,boxscore,CHC,@,TOR,W,6,2,0.517,2,2.5,,N,1.09,-1,0.256,0.333,0.754,10,5,1,4.13,1
122,2,121,2023-8-12,boxscore,CHC,@,TOR,W,5,4,0.521,2,2.5,Alzolay,D,1.14,1,0.256,0.333,0.754,7,8,1,4.13,1
123,3,122,2023-8-13,boxscore,CHC,@,TOR,L,4,11,0.517,2,3.5,,D,1.18,2,0.255,0.332,0.752,5,14,1,4.19,0
124,4,123,2023-8-15,boxscore,CHC,,CHW,L,3,5,0.513,2,3.5,Santos,N,1.1,-1,0.255,0.332,0.751,5,10,1,4.2,0
125,5,124,2023-8-16,boxscore,CHC,,CHW,W-wo,4,3,0.517,2,2.5,,N,1.07,-2,0.254,0.332,0.751,6,6,1,4.18,0
